image_hash,pixel_mean_r,pixel_mean_g,pixel_mean_b,pixel_std_r,pixel_std_g,pixel_std_b,predicted_label
811662b0a1d4195b71b34b84e485df8d,147.2276,128.8844,104.8719,47.6741,44.3279,43.2124,cat
6745b84a5713882090d05ab53eb9ece2,95.5994,89.9294,90.6677,68.8178,65.2007,62.3135,cat
1d86cd5f64d65b3efb7ce1929d4110eb,208.8262,192.8646,187.3632,38.0662,50.2039,56.2196,cat
56dfcd9fc52ae86bb1ae3b3d36f5efeb,102.3472,90.8175,78.5705,63.4709,58.2222,50.8184,cat
06554c8d0f862b077532574f2dc92983,134.9539,117.7492,107.2452,77.7134,84.6789,89.4704,cat
d34b0426a66bcef60cb8adbfa0978a39,48.2916,41.8016,36.4504,30.4108,24.3776,22.9534,cat
8aa18cb71f005b86d100a89008ad2685,120.4757,120.1308,117.2776,65.7523,71.3542,75.9851,cat
47fc328776de2302ccf2a28ff00c2aea,109.8983,95.9175,81.1357,45.7279,49.7229,58.8464,cat
aa707e5421ac67841633559b839567f1,163.6716,146.6195,136.5602,47.0385,54.3008,56.1194,cat
bc70e9e102e5140b9b16f84e6839c737,128.1465,125.381,113.6014,77.4314,86.3554,92.915,cat
71056302368d1c375df06fbe5e02974e,110.9855,117.2013,104.2242,51.5368,52.7642,63.6578,cat
4a9d499ef60492c63041183319638ddf,125.9606,120.7276,112.4956,74.2993,75.0585,73.5592,cat
d5f5ed63996d18ac013d5dfa6be4e3d1,114.05,119.3966,98.02,72.046,74.565,75.4942,cat
fb09ab592332bd2b8b87189f2e511122,32.1944,156.3414,127.4437,45.9669,34.9429,30.2853,cat
12005a632fb6bf4becffa322e935e0a1,124.1258,98.706,91.6535,78.0546,63.8124,43.0567,cat
dded3d682e22e5eae0a2c649915f6596,124.2979,110.7831,103.7221,62.1208,67.1789,61.1006,cat
6495511382aca6e9f28f581645546f85,118.1772,111.0709,103.9903,29.3509,34.6005,43.4122,cat
585edd21a61e034ed5a0e9cb2b449196,112.7959,108.7592,100.2571,30.2573,26.333,27.2778,cat
1187539bc8078b906e7bf97bd627028d,145.6231,138.3096,125.5334,66.162,66.3372,63.0689,cat
546a41c8c537095ac7979bc3f721170c,140.3143,138.4671,136.0932,69.7387,71.3383,69.5605,cat
ccbdbd309c7a5ce96341fcd993054e4a,121.7691,114.8695,106.3073,57.4012,60.8422,66.3105,cat
f44faf5a1be0890b1d5c531ca1dbf23d,156.1273,157.1004,144.6921,44.5107,45.6568,58.6083,cat
4af3aa4259032e427b7ec2202a834427,187.2713,167.0912,152.9649,29.7117,43.8352,57.4121,cat
989980a27011850556631ba0d847be44,127.6741,117.1332,107.2695,81.286,82.2465,82.9999,cat
eda20edcfafc58acd2d7b93df2e2d132,96.6257,103.2686,85.6026,66.5346,67.1793,69.3581,cat
9421ea5e9749b4be094034b6ca3c15f3,159.097,144.0799,129.4729,62.4859,70.36,83.0358,cat
c6477e1dfd4bd97e3bbaf59c1edbef1b,88.2619,75.726,65.3827,78.4592,67.8982,64.4539,cat
a0e9da49fff5079670c0ee87af4d3746,94.5099,92.9823,83.541,53.6094,49.2116,53.3283,cat
c993815ea1d6b241f588fe8fc5c85138,102.7501,102.3548,107.7588,37.6262,42.9037,52.0201,cat
0162e52a105f37c0b10740e5aef624ad,102.7346,89.9979,83.304,73.3331,67.5347,65.3723,cat
2ef3465a1c390b5598cccccf1d90cb55,115.4971,106.3767,105.5092,47.0205,53.6674,55.2142,cat
042fd1c332e91dd9fe36d0c27f85de85,132.579,123.8977,125.5709,54.8033,55.4098,66.3706,cat
dcdfd359e9ef642678a86e0e65ad1b1b,77.2528,83.0462,68.9383,43.6054,45.1584,44.4966,cat
93992a3e1e37fbd1a6b21ca5634ebeb4,112.599,79.9864,69.7853,63.0733,60.0946,53.8382,cat
24af99d1dd9e3d5be8e0c32509c40c2b,111.9475,91.6572,68.6258,60.0328,55.9277,52.5355,cat
b2b8b8b611d1563f9d9892f07fbe3b3e,104.4782,103.1001,92.7298,87.0826,82.7829,80.7183,cat
eceeed1b84dfd4e015a046700d675d50,38.8842,72.7635,57.5971,42.068,27.0598,26.2045,cat
09304574e6bcd353beeb3514dfbe0e94,74.2174,76.0214,58.4958,40.992,37.4523,35.3786,cat
e959ba542438a2f42512678a4e41bb8e,160.0764,144.8754,127.0795,46.491,47.1773,48.0582,cat
9a99bc46b96c54ce7c0364f9511f142f,151.7462,137.8469,116.7097,83.1374,75.8322,64.7011,cat
27c218071806886c633889b76dd15fac,90.6384,75.8498,55.5987,39.1584,35.1245,32.3668,cat
20e6d94b3be86da62f465b325e3a3f08,117.6861,126.1473,112.7288,54.8868,51.324,64.3277,cat
0dbc4edae7c27cd2382497e679994f18,182.0669,164.1931,128.6738,49.6744,51.8935,53.1607,cat
cde4750339230a510267ed45009aed53,187.3844,181.394,177.5183,63.6521,68.6667,71.3087,cat
b8942ad0c101abefa035b9096e13d919,101.4444,95.2081,97.1225,43.9972,44.1914,49.3165,cat
552e9c951c4a08a5ad6f6f4ea8029c33,174.4855,164.5421,155.5527,51.7433,64.4188,65.974,cat
dd0a554a5000b02c07ad61a7f6599d4f,80.5613,67.3687,49.427,82.3999,65.9619,52.6979,cat
b61e5d8f72e6b347579252097a505293,141.2973,129.1554,114.41,67.1365,70.401,71.8426,cat
0d7f0db2b14a857c8529d5327cf88a4e,148.9137,150.5218,137.8022,37.8319,35.785,33.518,cat
3bd50ef9ae6d7ea78aaf16650d88c76b,82.0928,54.7094,26.8713,48.4597,40.7837,29.4194,cat
632a46b3a933fc16c5d10e5b0b9b3044,60.8811,59.704,66.7438,81.01,79.2503,72.6844,cat
f7a729f77256ddf23ecf7bd674bf46b0,139.6103,133.8885,134.3615,52.2905,60.5899,66.0056,cat
100a66eea3e58933382efa23d84b4146,104.1109,101.513,106.6524,65.5951,66.2006,62.9883,cat
18c8b37778ea7f2a5182d4b3b40410a3,116.9691,87.247,50.8196,47.5938,37.5003,32.5268,cat
5aff1d90a2508e4f8b84b1a98aa7b748,141.2396,138.1757,141.6577,64.0654,60.6417,54.2636,cat
12bfa7ac50022edb31ad429498fc0d9a,131.3653,133.7412,128.2374,59.157,58.36,62.6285,cat
6bc1a426d8ab1aba0b03a4f1f722cfd1,130.3073,143.8039,137.1087,52.7296,59.6842,69.4788,cat
b6394d1bd3c3feeeaa7713e4725fe075,94.1809,79.7225,107.9631,59.9549,68.4026,50.2689,cat
51802c537282a303fc9f4732c80ac0de,169.8587,161.8365,159.8009,49.2473,50.7293,52.5991,cat
6239d7d6b18b182d7a872945da887e2e,134.4535,120.888,101.5096,56.8042,61.4976,63.0094,cat
5473bd2875acbf5a89ece065c4568715,70.0052,48.5194,50.7026,56.3755,48.4888,51.7292,cat
d525b4608b9801840e2e86e5f5cc9395,144.2516,144.0448,131.6449,70.4628,66.4561,63.6159,cat
befa24c16f72985c88dfce0fdb7e0f6c,102.3814,95.7154,90.6844,66.1778,66.4404,64.6268,cat
aac287318d25380ba44d735deec2ccbd,135.1595,118.7795,107.8637,58.8843,65.3207,70.0441,cat
af6a02c172adb3e88aa599ad3c0fb51c,58.9796,74.2094,84.1441,54.2878,53.7257,58.5377,cat
c09e9f4b79aea57eb4c152725c1356c3,102.8227,89.3832,75.6277,79.611,71.0921,66.0412,cat
ea5d1b5d61a5a86ebdf2b9607945954f,127.068,124.9064,117.2532,36.2339,44.7104,60.1071,cat
57e6982caf129db76240ea591ab36d94,136.2634,125.5176,118.7484,66.1359,69.7245,72.7466,cat
2c859ea412d728af3106f6345b334eb6,104.1791,72.4341,59.7691,50.3255,44.2091,37.7447,cat
e8942c442ab2cdc4fd2fd12b092f087c,131.3249,116.5329,102.0902,40.037,46.7914,54.5989,cat
221b6abfd396ef5e26427bc9ef9526f4,121.7305,106.8531,97.8839,69.9678,65.6842,71.5536,cat
c75315d021e6a27bb5c313fc3c3cf52f,68.6456,66.5844,71.5833,48.5711,45.7957,44.9124,cat
6c6f76c100ccb25f99e8c53020c7ce6a,126.9152,113.9305,98.3343,62.6753,56.2225,51.5359,cat
aaec5ac1560fb2f2e15965e2807a92cb,138.0162,123.7699,108.0763,54.7908,58.7677,64.243,cat
3ec260032ae2923ecc15a2adacd16d15,87.3701,93.9201,90.0138,46.7028,41.8882,42.8275,cat
c11bc708d2d65daf23f699b772890695,181.3417,160.5944,146.9887,64.7126,78.7815,67.5671,cat
b30e485a806d0f00de27e17fc152bc88,128.7597,134.3262,130.694,74.4811,76.763,78.5024,cat
23ba43d0315ced8171dcd9a2ff292faa,148.335,132.2371,129.2172,51.848,51.904,51.4392,cat
7e377ddb773aa0c535cf95059f1aa43f,77.3722,71.0317,65.2091,60.7276,62.5118,63.5045,cat
9821f18ffe596ae703a6ea01f814cc63,141.6903,142.6918,136.6293,52.1939,51.7069,54.6443,cat
162128a292d7c8e7fdd27a3b663074dd,119.613,110.8285,110.1805,40.8319,47.3739,55.2915,cat
bca9a46281717a13791af9a90ec63477,137.3414,128.9419,116.9667,59.6693,62.4406,62.7577,cat
17d273f1b82131c1251c76b7c10f6bdc,120.5081,114.0251,102.6712,59.2767,59.6806,64.9867,cat
bb34d9331a03b4b60332ee9c9edea22a,110.3608,82.4965,67.1806,48.1089,46.0759,41.3449,cat
bca7c6117e31a5f2e4c6517f0552755a,137.6021,119.7713,99.8706,40.2798,41.0612,41.4039,cat
0b072ff03dd8b846ff28cdb9b1337747,126.8091,106.4515,101.8913,55.1574,57.6987,56.0523,cat
e78c6fd66c750bbac7689ba43f6338c5,83.6148,82.7298,63.9866,45.8084,42.9549,42.9486,cat
04c6d3488b03fc1fd88ef9953750cd7f,121.2105,106.7296,98.5899,62.4128,61.1187,62.0409,cat
f29a60b444501c7e5c3cd6c6e9d989d9,116.7594,102.8845,105.2775,46.7167,46.6976,48.9875,cat
3232bfc8007bb3d4f18954c4794df65a,165.4801,159.7252,155.2511,45.4352,49.5337,62.8778,cat
fb9e544e94cced1f67fdc3d0e3abcc88,147.9372,108.6974,86.9037,76.7703,56.6002,44.5856,cat
ccff064eb514be484b6478b85e45870f,86.5352,88.2953,87.553,77.863,81.1253,77.8214,cat
bfc98d818fc041f383d5ae7abba0fb19,141.0833,160.077,126.2875,52.5149,48.759,62.121,cat
e1f26e504827d10992416b3785991e16,131.2863,138.0425,129.5653,69.7247,62.1866,66.0324,cat
4ac2fbf1877c2d8b50410819dbc6bba4,197.7351,168.1687,122.8132,73.4593,89.276,87.2268,cat
23a686cce59c45051856573698cdfb7a,120.3101,113.9853,92.8213,53.336,63.0253,65.4432,cat
760df9f0bd53e7c413aaffa23b7260bc,109.3052,102.9567,103.3857,51.6976,49.7533,51.3662,cat
6b36b4d311c37dc9f35dd28f9fe6881f,127.3546,123.0924,122.1241,43.6814,51.5944,60.3982,cat
9ee2bede30027393abcc0a365ba0f418,141.7088,128.45,86.5747,54.5342,51.431,70.5713,cat
df6871e3fff908b5a5d57450c660089a,192.0671,177.2478,161.7518,57.3831,57.3552,60.2798,cat
0df2d6188721ded2fb1aa9f2cec947a0,131.3728,132.062,112.8741,44.0908,48.6761,46.491,cat
77efd14303ab4ad40f509818dc118f58,184.4985,174.2682,163.8992,68.6926,73.463,79.7174,cat
540896a28808f8f207571f53ad066574,193.3949,184.6808,175.8836,30.1733,39.275,46.2256,cat
3400e7e2a62bfe0d807578ef81304f68,157.7814,137.9344,132.9995,53.0927,59.5892,59.0777,cat
f539ddda29e35c409e93e4081a389186,131.6453,101.9309,82.9789,68.5927,71.845,74.9499,cat
c442de6b8835562bb861d092c309fdbe,141.1896,138.8483,136.6968,56.5265,61.1438,64.5957,cat
e0a2ce338d3da66e0ab7cf6c8f5eb7d2,132.3107,130.7745,128.9588,31.6062,34.5202,33.043,cat
391da5bed82aae195510593309d89371,129.5323,124.5355,118.2692,48.815,53.0742,59.3944,cat
0a02c31d4d651fb4b8f40aa853a829e1,49.5941,44.9247,46.9261,37.2389,29.6035,29.5108,cat
cde5aa8a8643685e06731e1e203923ef,152.9728,112.3753,64.9932,49.6946,35.9957,38.2133,cat
a34b37cc0ce385f94e0ee8bfb709ca48,126.0255,112.9297,121.6189,62.5869,63.33,58.9508,cat
9f5b4a00052db8079e364272a97de934,108.0353,108.9043,111.4934,68.0264,65.7571,67.051,cat
e38f187493f9f1e0b8c54afec9f29063,157.9775,157.5842,153.956,90.1113,92.3116,92.0412,cat
7ab73c1cdaf874b4fed0ffe754471ca3,187.0614,163.9028,143.3833,56.3645,57.022,56.4708,cat
538cc64ab024dd5e84745c5769b15f72,157.6862,149.476,144.7081,59.0798,56.1018,55.1813,cat
5865ec6494457b723180c777b8c04aa6,120.4917,114.3113,108.2602,86.7807,88.7319,86.8161,cat
399e97312ebc741aec037ef68902b7e5,109.2219,93.6627,71.3177,70.1317,69.4395,60.1073,cat
9c617e87e6bb3a750044808694b272d2,162.0845,160.2745,157.9383,104.2933,103.5256,104.1695,cat
622ef4849fa2495b9a040e1ce444a67f,143.7987,143.8956,144.4965,44.1016,47.0743,50.1856,cat
a0ffc0628296aa14e5b91f1dbe59119c,133.8535,114.4187,111.9953,52.7421,58.3742,68.3726,cat
39ee49d00602160347e7998bae600f12,109.0049,116.539,99.4168,78.0183,53.9033,64.6894,cat
a2d03e4b2425e12e0c06bfbcfca11e60,171.1097,142.2697,131.154,47.9747,66.1519,67.8584,cat
68d02e237a684651295bc3e06e8e0f69,166.233,144.4884,123.1354,28.4539,31.9574,49.407,cat
26df8acb21373ebbab52dae0a54ca35c,72.5504,66.6759,58.0973,46.8086,42.4476,42.0708,cat
f3849e7483a63826ebb5e7febe8a4bf0,130.4736,140.8875,110.7672,55.3854,50.5708,70.2431,cat
1109ac3ee895ab0a2871fbbc8dfa9af3,120.5434,129.164,118.3063,51.3408,54.9451,55.2228,cat
cf10bda7f997bc28282b2cca895278d6,107.1254,103.7609,111.1593,57.1593,51.0584,47.0488,cat
abe2690f506f9d3acc6c719b5df819ea,111.9508,105.4321,102.9312,66.3011,71.8424,74.5233,cat
7d9768bb1a0f6ecb52d7c80f5d168df0,136.1055,129.5997,115.8473,74.1699,77.5844,77.2543,cat
5a3e973232c550254e6f8006e1fbc4fe,122.0489,108.3591,102.5809,74.9942,72.0517,66.2547,cat
72976f4f8a3acd32a15ee63a50f2556f,82.3437,71.9412,63.3556,58.2058,53.2401,48.6583,cat
9398373f36aef1fe829d8198a4d6126c,144.459,130.4919,108.036,54.4583,57.4128,53.8158,cat
327c0ac44f75204d6456237863bfff3e,99.793,103.1215,78.9468,54.7549,52.413,48.3977,cat
f5559e2600ee5a2a96b4bd20687761a1,103.7433,97.5156,90.5198,71.03,69.4295,66.7364,cat
62bdd1f9fc3e8c71ff6f498370d1c320,37.487,24.9006,19.7922,31.5328,26.2298,21.7231,cat
2b7df132d380364e41f84654f659d718,180.4702,163.2428,132.3556,60.2767,61.5892,64.466,cat
56987d3504610be8241ed6de35ef84e5,187.2669,182.5535,171.8312,46.3718,53.0223,67.9983,cat
6fca577416c3df57bb5e27979141b367,106.4947,92.8849,75.0267,69.2546,62.781,55.1219,cat
0dde0427e1c850a056e4d94c64cff47f,131.3487,108.4459,96.3888,46.4805,53.5922,50.7989,cat
064def0426d0dd8625338a56d1949e45,93.4232,79.5759,70.8932,65.8422,64.8256,63.3054,cat
f063214896e86852efb3962c57ae7cca,125.3561,135.4664,137.2573,28.4487,48.3883,66.5307,cat
19bb2c172d13337d6a523ccecb6bf01e,80.0229,81.2451,89.6169,59.2987,56.6807,53.3033,cat
18c53de9e2654dde437a9132a7eeea04,42.7559,96.215,135.9356,69.6153,51.2336,48.5048,cat
910b5ef3c496abb300c4a56dbe567839,114.2402,93.3915,101.908,83.6767,67.7802,74.9646,cat
801de27748c9d3c43dd75645b77192f8,134.9,137.2572,123.2583,59.6784,60.052,65.0727,cat
1172936282ad3a2f1095e9f6738bea98,148.952,126.9056,112.4125,54.5523,61.9362,67.0999,cat
d4fbe42ffb65acce8b10dd5cc20b8d57,108.3251,87.0077,74.4069,62.7696,59.5981,53.4527,cat
b7a2cb02ae3da8a1aab33d9b46481675,103.3356,99.5355,102.636,66.0263,58.4742,55.646,cat
956f2fa95d50f425bb89bcce11830057,72.79,93.8522,130.3854,78.3782,69.7758,59.537,cat
5e18d2a8a3a688a32295f22376f1adb8,104.5423,100.9064,103.6874,57.9617,57.8238,65.7522,cat
f13e51b3b22f27d52a4146a8706e34c2,129.0342,126.2186,122.2761,67.0645,68.5351,70.7417,cat
e63fee3a2b467b0b67a083e56b223929,114.8553,109.6795,98.7509,70.4385,69.2912,73.2204,cat
65016e004689073d975ce574c7b8f430,126.6383,124.5707,122.6503,47.9572,50.4129,53.4239,cat
2d87db4ce0a77a0ebde9260c706f8c25,140.0109,131.0638,128.2625,58.053,63.2424,67.983,cat
abd195c95cd76c83a094d33fa34f02f3,190.6664,157.9988,127.5432,43.1125,55.2189,63.7298,cat
debb05fc564c20779dcfe747e0f5d22c,135.8649,115.2769,96.6023,53.6147,56.1254,63.7554,cat
53c762a1d768f8ca28b1f571904ba59e,129.1948,122.2975,111.979,43.3448,45.0336,45.2426,cat
7fb4aaa1c5990efdb8ff061729a05a77,150.1556,94.0681,86.5519,54.1509,46.4586,50.6432,cat
086f0ad88b0569ce97dcd864d95a022c,124.9098,112.8,108.1656,57.7598,52.9452,52.6493,cat
064f0e2a489797407d68af6023fe92a6,183.9762,121.3775,81.3904,39.9141,48.5258,54.4358,cat
817db6a52cee8aeb7a6599a9c56219f1,89.2421,86.8906,90.9774,52.9916,42.5327,53.9296,cat
114027a0f05662e5b11ae07490c05c35,126.247,102.7645,70.0665,45.3747,45.3646,44.44,cat
570998e368e28868f5c0b4662bc354a3,126.0921,113.6589,105.0863,86.7577,83.4691,80.0916,cat
d1b3ae7e49607d45597f108d4f97e974,139.4152,131.3909,113.0407,53.7551,57.8225,66.2509,cat
1aac841b324b2f317c77528f4bf4e68f,163.9389,156.2104,150.0547,58.4047,64.6588,71.8306,cat
538a93a898e64b28eff217d660cb0e36,139.8064,134.429,119.8496,70.6892,70.0114,70.1016,cat
